EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition
2229,,Female,Sales,Sales Executive,6902.0,2.0,2.0,No,No
1633,39.0,Female,Research & Development,Manufacturing Director,5042.0,9.0,3.0,No,No
2097,28.0,Male,Research & Development,Laboratory Technician,3434.0,0.0,2.0,Yes,Yes
1956,31.0,Male,Research & Development,Research Scientist,5003.0,10.0,1.0,No,No
2271,44.0,Male,Research & Development,Healthcare Representative,4652.0,,1.0,No,No
269,35.0,,Research & Development,Laboratory Technician,4425.0,6.0,2.0,No,No
408,51.0,Male,Research & Development,,5482.0,4.0,,,No
1504,28.0,Male,Research & Development,Laboratory Technician,,,1.0,No,Yes
2109,30.0,Male,Sales,,7667.0,5.0,1.0,No,No
1390,46.0,,Research & Development,Healthcare Representative,,9.0,2.0,No,Yes
579,39.0,Male,Research & Development,Laboratory Technician,3069.0,10.0,,No,No
2161,40.0,Female,Research & Development,Manufacturing Director,6607.0,16.0,3.0,Yes,No
1192,29.0,,Research & Development,Laboratory Technician,3131.0,,4.0,,No
1241,30.0,Male,Research & Development,Research Scientist,3579.0,11.0,2.0,Yes,No
1763,30.0,Male,Research & Development,Healthcare Representative,5294.0,7.0,3.0,No,No
1689,53.0,Male,Research & Development,Healthcare Representative,7005.0,4.0,4.0,No,No
1312,36.0,,Research & Development,Healthcare Representative,,,3.0,No,No
1753,29.0,Male,Research & Development,Healthcare Representative,,3.0,3.0,Yes,No
1780,21.0,Male,Sales,,2679.0,1.0,,No,Yes
1210,,Male,Research & Development,Research Scientist,2107.0,1.0,1.0,No,Yes
1356,34.0,Female,Sales,Sales Executive,6125.0,10.0,1.0,No,No
56,27.0,Male,Sales,Sales Executive,8726.0,9.0,3.0,No,No
964,40.0,Male,Research & Development,Research Scientist,3617.0,1.0,2.0,Yes,No
551,42.0,Female,Research & Development,Healthcare Representative,4523.0,6.0,4.0,No,No
2251,60.0,,Research & Development,Research Scientist,4563.0,13.0,4.0,No,No
2113,,Male,,Research Director,16877.0,7.0,1.0,No,No
2176,50.0,Male,Research & Development,Healthcare Representative,9490.0,10.0,,No,No
2203,21.0,Male,,Sales Representative,2609.0,5.0,1.0,Yes,Yes
1485,34.0,Male,Research & Development,Research Director,17007.0,14.0,,No,No
819,33.0,Female,Sales,Sales Executive,5324.0,3.0,1.0,No,Yes
431,49.0,Female,Research & Development,Healthcare Representative,13964.0,7.0,3.0,Yes,No
800,27.0,Male,Sales,Sales Executive,,4.0,4.0,No,No
1419,29.0,Male,Human Resources,Human Resources,7988.0,10.0,1.0,No,No
1744,45.0,Female,Human Resources,,9756.0,5.0,3.0,No,No
1471,44.0,Male,Research & Development,Laboratory Technician,3162.0,5.0,3.0,No,No
1970,33.0,Male,,Healthcare Representative,5968.0,9.0,3.0,No,No
1268,33.0,Male,Sales,Sales Executive,8380.0,9.0,3.0,Yes,No
1352,51.0,Male,Human Resources,Manager,,33.0,2.0,,No
848,26.0,Female,,Research Scientist,2366.0,8.0,3.0,Yes,Yes
666,,Female,Sales,Sales Representative,2579.0,8.0,3.0,,No
967,36.0,,Sales,Sales Executive,10325.0,16.0,4.0,Yes,Yes
2252,34.0,Male,Research & Development,Laboratory Technician,1991.0,16.0,,No,No
2040,35.0,Female,Human Resources,,8837.0,9.0,4.0,Yes,No
508,30.0,Male,Sales,Sales Representative,2476.0,1.0,2.0,No,No
997,50.0,Male,Research & Development,,17399.0,5.0,4.0,No,No
2285,46.0,Female,Research & Development,Healthcare Representative,13687.0,,3.0,,No
1106,25.0,Male,Research & Development,Laboratory Technician,3691.0,7.0,4.0,Yes,Yes
291,32.0,Male,Sales,Sales Executive,10400.0,14.0,4.0,No,Yes
786,34.0,Male,Sales,Sales Executive,,6.0,4.0,No,No
2087,31.0,Male,Research & Development,Manufacturing Director,3719.0,10.0,2.0,No,No
1638,,Female,Research & Development,Manufacturing Director,7756.0,5.0,3.0,Yes,No
1005,50.0,Male,Research & Development,Manufacturing Director,13973.0,12.0,3.0,Yes,No
1821,46.0,Female,Research & Development,Healthcare Representative,8926.0,9.0,2.0,No,Yes
1369,,Male,Research & Development,Research Director,17603.0,14.0,3.0,No,No
1407,,Male,Research & Development,,3904.0,4.0,4.0,No,No
396,49.0,Female,Research & Development,,18665.0,3.0,1.0,Yes,No
305,33.0,Female,Research & Development,Research Scientist,2622.0,3.0,2.0,No,No
1938,58.0,Female,Sales,Manager,17875.0,1.0,4.0,Yes,No
1125,38.0,Male,Sales,Sales Executive,7351.0,1.0,2.0,No,No
1503,47.0,Female,Sales,Sales Executive,4591.0,5.0,3.0,Yes,No
2213,27.0,Male,,Manufacturing Director,5690.0,,1.0,No,No
847,34.0,Male,Human Resources,Human Resources,3737.0,3.0,4.0,No,No
1062,37.0,Female,,Healthcare Representative,4107.0,4.0,2.0,No,No
1137,35.0,Male,Sales,Sales Executive,4968.0,5.0,4.0,No,No
2235,57.0,Female,Research & Development,Research Scientist,4665.0,,3.0,No,No
450,54.0,Female,Research & Development,Research Scientist,4869.0,,3.0,No,No
1853,32.0,Male,Sales,Sales Executive,4648.0,0.0,4.0,No,No
2225,38.0,Male,Research & Development,Laboratory Technician,2111.0,,2.0,Yes,Yes
2170,48.0,Female,,Human Resources,3826.0,8.0,2.0,No,No
2111,33.0,Female,Sales,Sales Executive,5523.0,4.0,,No,No
1097,28.0,Female,Research & Development,,3660.0,8.0,3.0,No,No
951,32.0,Female,Research & Development,Laboratory Technician,,3.0,2.0,No,No
1852,29.0,Male,Research & Development,Laboratory Technician,3812.0,11.0,4.0,No,No
436,32.0,Female,Sales,Sales Executive,5228.0,13.0,2.0,Yes,No
395,,Female,Research & Development,Research Scientist,3310.0,5.0,4.0,No,No
192,45.0,Male,Research & Development,Research Scientist,3452.0,6.0,4.0,No,No
2084,32.0,Female,Research & Development,Manufacturing Director,5117.0,1.0,2.0,No,No
458,31.0,,Sales,Sales Executive,10793.0,13.0,4.0,No,No
2130,48.0,Male,Sales,Sales Executive,,1.0,1.0,Yes,Yes
2231,30.0,Male,Research & Development,Laboratory Technician,3535.0,4.0,3.0,Yes,Yes
785,47.0,Female,Sales,Sales Executive,6397.0,,3.0,Yes,Yes
556,38.0,Male,Research & Development,Laboratory Technician,1702.0,1.0,4.0,Yes,No
429,39.0,Male,Research & Development,Manager,17068.0,21.0,,Yes,No
2114,41.0,Male,Research & Development,Research Scientist,3432.0,4.0,3.0,No,No
2275,26.0,,Human Resources,,1376.0,0.0,2.0,No,Yes
2266,,Female,Sales,Sales Representative,2762.0,6.0,1.0,No,No
2072,29.0,Male,Sales,Sales Executive,4777.0,3.0,1.0,No,No
2264,19.0,Male,Sales,Sales Representative,2808.0,0.0,4.0,No,Yes
1890,36.0,Male,Human Resources,Human Resources,3886.0,,4.0,No,No
1024,48.0,Male,Research & Development,Healthcare Representative,10999.0,15.0,3.0,No,No
38,46.0,Female,Sales,Manager,18947.0,,1.0,No,No
1221,36.0,Male,Research & Development,Laboratory Technician,,7.0,3.0,No,No
1265,34.0,Female,Research & Development,Research Scientist,2585.0,1.0,,No,No
