EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,AttriationFlag,TenureGroup,IncomeGroup,EstimatedAttritionCost
2229,36.0,Female,Sales,Sales Executive,6902.0,2.0,2.0,No,No,0,0-2 years,High,0.0
1633,39.0,Female,Research & Development,Manufacturing Director,5042.0,9.0,3.0,No,No,0,5+ years,Medium,0.0
2097,28.0,Male,Research & Development,Laboratory Technician,3434.0,0.0,2.0,Yes,Yes,1,0-2 years,Low,10302.0
1956,31.0,Male,Research & Development,Research Scientist,5003.0,10.0,1.0,No,No,0,5+ years,Medium,0.0
2271,44.0,Male,Research & Development,Healthcare Representative,4652.0,6.0,1.0,No,No,0,5+ years,Medium,0.0
269,35.0,Male,Research & Development,Laboratory Technician,4425.0,6.0,2.0,No,No,0,5+ years,Medium,0.0
408,51.0,Male,Research & Development,Sales Executive,5482.0,4.0,3.0,No,No,0,2-5 years,Medium,0.0
1504,28.0,Male,Research & Development,Laboratory Technician,5228.0,6.0,1.0,No,Yes,1,5+ years,Medium,15684.0
2109,30.0,Male,Sales,Sales Executive,7667.0,5.0,1.0,No,No,0,2-5 years,High,0.0
1390,46.0,Male,Research & Development,Healthcare Representative,5228.0,9.0,2.0,No,Yes,1,5+ years,Medium,15684.0
579,39.0,Male,Research & Development,Laboratory Technician,3069.0,10.0,3.0,No,No,0,5+ years,Low,0.0
2161,40.0,Female,Research & Development,Manufacturing Director,6607.0,16.0,3.0,Yes,No,0,5+ years,High,0.0
1192,29.0,Male,Research & Development,Laboratory Technician,3131.0,6.0,4.0,No,No,0,5+ years,Low,0.0
1241,30.0,Male,Research & Development,Research Scientist,3579.0,11.0,2.0,Yes,No,0,5+ years,Low,0.0
1763,30.0,Male,Research & Development,Healthcare Representative,5294.0,7.0,3.0,No,No,0,5+ years,Medium,0.0
1689,53.0,Male,Research & Development,Healthcare Representative,7005.0,4.0,4.0,No,No,0,2-5 years,High,0.0
1312,36.0,Male,Research & Development,Healthcare Representative,5228.0,6.0,3.0,No,No,0,5+ years,Medium,0.0
1753,29.0,Male,Research & Development,Healthcare Representative,5228.0,3.0,3.0,Yes,No,0,2-5 years,Medium,0.0
1780,21.0,Male,Sales,Sales Executive,2679.0,1.0,3.0,No,Yes,1,0-2 years,Low,8037.0
1210,36.0,Male,Research & Development,Research Scientist,2107.0,1.0,1.0,No,Yes,1,0-2 years,Low,6321.0
1356,34.0,Female,Sales,Sales Executive,6125.0,10.0,1.0,No,No,0,5+ years,Medium,0.0
56,27.0,Male,Sales,Sales Executive,8726.0,9.0,3.0,No,No,0,5+ years,High,0.0
964,40.0,Male,Research & Development,Research Scientist,3617.0,1.0,2.0,Yes,No,0,0-2 years,Low,0.0
551,42.0,Female,Research & Development,Healthcare Representative,4523.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
2251,60.0,Male,Research & Development,Research Scientist,4563.0,13.0,4.0,No,No,0,5+ years,Medium,0.0
2113,36.0,Male,Research & Development,Research Director,16877.0,7.0,1.0,No,No,0,5+ years,High,0.0
2176,50.0,Male,Research & Development,Healthcare Representative,9490.0,10.0,3.0,No,No,0,5+ years,High,0.0
2203,21.0,Male,Research & Development,Sales Representative,2609.0,5.0,1.0,Yes,Yes,1,2-5 years,Low,7827.0
1485,34.0,Male,Research & Development,Research Director,17007.0,14.0,3.0,No,No,0,5+ years,High,0.0
819,33.0,Female,Sales,Sales Executive,5324.0,3.0,1.0,No,Yes,1,2-5 years,Medium,15972.0
431,49.0,Female,Research & Development,Healthcare Representative,13964.0,7.0,3.0,Yes,No,0,5+ years,High,0.0
800,27.0,Male,Sales,Sales Executive,5228.0,4.0,4.0,No,No,0,2-5 years,Medium,0.0
1419,29.0,Male,Human Resources,Human Resources,7988.0,10.0,1.0,No,No,0,5+ years,High,0.0
